gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
110,0.031884614,0.025847908,0.027554212,0.037327904,0.039831903,0.07993304,0.033838872,0.036132194,0.15687671,0.22639598,-216.05676,-290.67407,-267.94846,-160.02371,-136.94217,112.96163,-49.593018,-14.817102,568.40985,1017.3511,88,45,52,98,99
111,0.03187832,0.025463706,0.027554194,0.037327904,0.038311485,0.07995969,0.034422792,0.03628055,0.15687671,0.22639598,-216.12692,-295.99786,-267.9487,-160.02371,-150.77768,103.12575,-35.251675,-8.071396,504.39557,932.36804,88,49,58,98,99
112,0.03187832,0.025370479,0.027415814,0.037327904,0.03829196,0.07957328,0.034422804,0.036095385,0.1585833,0.21221012,-216.12692,-297.30176,-269.73853,-160.02371,-150.9589,108.43091,-34.298164,-5.0920486,528.41394,932.36804,89,49,59,98,99
113,0.03187832,0.024854477,0.027415814,0.037327904,0.038290955,0.07957328,0.034422804,0.036132194,0.18115492,0.26459274,-216.12692,-304.6067,-269.73853,-160.02371,-150.96823,108.43091,-21.991734,-5.0920486,540.65686,932.36804,90,56,60,99,99
114,0.03187113,0.024854477,0.027141856,0.037327904,0.038113885,0.07993304,0.034422774,0.035803538,0.17741603,0.26459274,-216.20715,-304.6067,-273.3088,-160.02371,-152.61597,112.57535,-17.732407,4.2163315,554.81824,890.9874,91,58,63,98,99
115,0.03187113,0.024808288,0.027141856,0.036874615,0.03756155,0.08103354,0.034422774,0.036132194,0.1815907,0.26459274,-216.20715,-305.26794,-273.3088,-164.36713,-157.80545,111.08779,-17.732407,7.998352,554.81824,892.57324,91,57,62,98,99
116,0.03186415,0.024808288,0.027141856,0.036874615,0.03756155,0.08103354,0.033841975,0.035541173,0.17741045,0.22889456,-216.285,-305.26794,-273.3088,-164.36713,-157.80545,121.05918,-14.363823,11.518051,554.81824,890.9874,91,57,62,99,99
117,0.031727187,0.02474913,0.027141856,0.036874615,0.03756155,0.07993304,0.034422774,0.035541173,0.18040821,0.27600425,-217.81635,-306.11673,-273.3088,-164.36713,-157.80545,121.05918,-14.534618,10.0253105,532.9706,887.716,91,58,63,99,99
118,0.031603348,0.02474913,0.027141856,0.036758017,0.03755185,0.078985155,0.03451107,0.035745896,0.18040821,0.29666942,-219.20667,-306.11673,-273.3088,-165.49301,-157.89731,131.87735,-14.534618,18.76455,554.81824,890.69183,92,58,64,99,99
119,0.031603348,0.02474913,0.027141856,0.03646983,0.037511352,0.08212196,0.03473469,0.03614879,0.1815907,4.43268,-219.20667,-306.11673,-273.3088,-168.29117,-158.28088,125.85196,-14.534618,18.066742,554.81824,890.69183,91,58,63,99,99
