gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
72,453.9422,313.3085,335.98657,794.66406,940.5899,1490.1658,639.6143,773.8386,3268.8027,3847.6523,2312.9104,2276.0325,2281.9792,2402.2568,2440.5225,2596.7222,2503.6846,2518.2725,2777.3984,2875.1953,87,54,62,99,100,74.068,68.53,69.442,78.618,79.524
73,446.81903,310.92065,335.98657,786.4337,922.91736,1482.1558,682.4084,776.20105,3134.191,3847.6523,2311.0425,2275.4062,2281.9792,2400.0986,2435.8882,2583.5266,2503.6846,2519.572,2762.8972,2875.1953,89,59,62,99,100,74.35,68.248,69.888,78.648,80.104
74,446.81903,310.1238,333.6691,772.4452,922.91736,1412.5251,635.23773,801.001,3008.3264,3847.6523,2311.0425,2275.1973,2281.3716,2396.4304,2435.8882,2596.054,2504.6697,2519.572,2719.5676,2875.1953,89,54,63,99,100,74.244,69.092,70.092,77.942,79.89
75,443.40634,310.1238,333.66516,771.6671,922.91736,1394.7911,635.23773,803.06824,3008.3264,4000.2566,2310.1475,2275.1973,2281.3704,2396.2263,2435.8882,2600.2053,2509.6338,2523.9395,2774.266,2875.1953,89,59,64,99,100,74.568,68.632,69.686,77.794,79.886
76,419.15826,310.1238,333.66516,771.6671,922.91736,1368.2976,635.23773,803.8106,3134.191,4165.011,2303.789,2275.1973,2281.3704,2396.2263,2435.8882,2600.8845,2512.5427,2528.3945,2782.5781,2875.1953,89,59,67,99,100,74.514,67.95,68.774,77.91,80.274
77,419.15826,310.1238,331.42352,771.6671,922.91736,1368.2976,635.23773,781.2214,3134.191,4165.011,2303.789,2275.1973,2280.7827,2396.2263,2435.8882,2592.3423,2509.6338,2523.9395,2808.8755,2922.5864,89,59,67,99,100,74.306,68.014,69.35,78.55,80.128
78,416.94656,310.1238,331.42352,760.9158,885.93036,1368.2976,639.2358,776.6573,3261.42,4377.047,2303.209,2275.1973,2280.7827,2393.407,2426.1892,2592.4424,2513.0312,2525.2139,2875.1953,2955.7114,90,59,68,99,100,74.312,67.354,68.882,78.734,80.17
79,416.94656,310.1238,330.21545,665.5556,786.6836,1404.0128,619.94666,776.6573,3133.7493,4377.138,2303.209,2275.1973,2280.4658,2368.4011,2400.164,2595.8452,2514.3865,2527.681,2809.863,2940.0308,90,64,68,99,100,73.862,66.958,69.102,79.302,80.218
80,415.5441,310.1238,325.33932,654.5367,786.4337,1397.2104,615.55194,776.6573,3133.7493,4377.23,2302.8413,2275.1973,2279.1873,2365.5117,2400.0986,2591.4976,2513.0312,2523.5085,2809.863,2940.0308,89,64,69,99,100,74.356,68.252,69.866,79.18,80.664
81,412.78763,310.1238,325.25763,654.5367,786.4337,1368.2976,613.37067,776.6573,2823.698,4145.2905,2302.1184,2275.1973,2279.1658,2365.5117,2400.0986,2591.437,2513.0312,2525.2139,2795.8745,2933.2131,89,64,72,99,100,74.02,68.214,70.382,78.94,79.704
82,409.5177,305.31635,321.93033,636.2357,786.4337,1377.5066,619.3228,758.99414,2823.698,4145.2905,2301.261,2273.9368,2278.2932,2360.7126,2400.0986,2589.4607,2519.572,2532.646,2787.5237,2933.2131,89,64,72,99,100,74.51,69.268,70.0,79.436,80.162
